TripTime,StartStation,EndStation
94.54,Jefferson Dr & 14th St SW,10th & G St NW
25.37,Lincoln Memorial,Jefferson Memorial
26.49,Lincoln Memorial,Jefferson Memorial
24.49,Lincoln Memorial,Jefferson Memorial
27.32,Lincoln Memorial,Jefferson Memorial
7.51,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
39.12,Jefferson Dr & 14th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
15.85,Jefferson Dr & 14th St SW,1st & N St  SE
7.22,Jefferson Dr & 14th St SW,Jefferson Memorial
136.49,Jefferson Dr & 14th St SW,15th & L St NW
6.39,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
7.24,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
6.73,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
7.45,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
33.31,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
49.06,Jefferson Dr & 14th St SW,5th & K St NW
49.09,Jefferson Dr & 14th St SW,5th & K St NW
21.16,Lincoln Memorial,Jefferson Memorial
25.53,Lincoln Memorial,Jefferson Memorial
8.59,Jefferson Dr & 14th St SW,15th & L St NW
8.36,Jefferson Dr & 14th St SW,15th & L St NW
15.25,Lincoln Memorial,Georgetown Harbor / 30th St NW
15.3,Lincoln Memorial,Georgetown Harbor / 30th St NW
44.99,Jefferson Dr & 14th St SW,M St & New Jersey Ave SE
30.55,Lincoln Memorial,Jefferson Dr & 14th St SW
44.92,Jefferson Dr & 14th St SW,M St & New Jersey Ave SE
24.48,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
27.79,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
17.57,Lincoln Memorial,4th St & Madison Dr NW
20.19,Jefferson Dr & 14th St SW,5th & F St NW
19.44,Lincoln Memorial,4th St & Madison Dr NW
29.09,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
19.14,Lincoln Memorial,4th St & Madison Dr NW
6.39,Lincoln Memorial,Lincoln Memorial
37.76,Lincoln Memorial,Jefferson Dr & 14th St SW
8.59,Lincoln Memorial,New Hampshire Ave & 24th St NW
24.61,Jefferson Dr & 14th St SW,Lincoln Memorial
25.36,Jefferson Dr & 14th St SW,Lincoln Memorial
26.71,Jefferson Dr & 14th St SW,Lincoln Memorial
27.23,Jefferson Dr & 14th St SW,Lincoln Memorial
22.14,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
24.03,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
23.93,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
25.02,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
24.79,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
25.44,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
25.5,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
24.47,Lincoln Memorial,10th St & Constitution Ave NW
24.22,Lincoln Memorial,10th St & Constitution Ave NW
14.15,Jefferson Dr & 14th St SW,4th & M St SW
12.23,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
42.13,Jefferson Dr & 14th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
42.57,Jefferson Dr & 14th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
42.33,Jefferson Dr & 14th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
245.45,Jefferson Dr & 14th St SW,Independence Ave & L'Enfant Plaza SW/DOE
246.07,Jefferson Dr & 14th St SW,Independence Ave & L'Enfant Plaza SW/DOE
19.35,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
19.33,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
248.3,Jefferson Dr & 14th St SW,Independence Ave & L'Enfant Plaza SW/DOE
249.2,Jefferson Dr & 14th St SW,Independence Ave & L'Enfant Plaza SW/DOE
11.59,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
24.46,Lincoln Memorial,Columbus Circle / Union Station
15.99,Lincoln Memorial,Jefferson Memorial
20.08,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
31.32,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
248.55,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
248.07,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
15.85,Lincoln Memorial,6th & Water St SW / SW Waterfront
22.38,Lincoln Memorial,15th & Crystal Dr
60.37,Lincoln Memorial,4th St & Madison Dr NW
59.6,Lincoln Memorial,4th St & Madison Dr NW
6.83,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
28.47,Lincoln Memorial,18th St & Pennsylvania Ave NW
28.71,Lincoln Memorial,18th St & Pennsylvania Ave NW
21.71,Jefferson Dr & 14th St SW,5th St & Massachusetts Ave NW
33.13,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
80.74,Lincoln Memorial,M St & Pennsylvania Ave NW
21.86,Jefferson Dr & 14th St SW,5th St & Massachusetts Ave NW
32.83,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
79.94,Lincoln Memorial,M St & Pennsylvania Ave NW
33.57,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
6.71,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
27.6,Lincoln Memorial,Eastern Market / 7th & North Carolina Ave SE
72.84,Lincoln Memorial,10th & E St NW
48.04,Lincoln Memorial,Jefferson Memorial
73.23,Lincoln Memorial,10th & E St NW
57.64,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
15.08,Lincoln Memorial,New York Ave & 15th St NW
31.42,Lincoln Memorial,Jefferson Memorial
30.82,Lincoln Memorial,Jefferson Memorial
22.83,Lincoln Memorial,New York Ave & 15th St NW
26.93,Jefferson Dr & 14th St SW,3rd & H St NE
26.46,Jefferson Dr & 14th St SW,3rd & H St NE
9.66,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
11.81,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
7,Jefferson Dr & 14th St SW,4th & E St SW
19.37,Lincoln Memorial,Eastern Market Metro / Pennsylvania Ave & 7th St SE
21.89,Jefferson Dr & 14th St SW,M St & Delaware Ave NE
6.98,Jefferson Dr & 14th St SW,14th & G St NW
7.62,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
51.06,Lincoln Memorial,Jefferson Memorial
22,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
58.13,Lincoln Memorial,Jefferson Dr & 14th St SW
58.43,Lincoln Memorial,Jefferson Dr & 14th St SW
120.53,Lincoln Memorial,Maryland & Independence Ave SW
4.12,Lincoln Memorial,17th St & Independence Ave SW
124.63,Lincoln Memorial,Maryland & Independence Ave SW
15.92,Jefferson Dr & 14th St SW,2nd & G St NE
9.85,Jefferson Dr & 14th St SW,10th & E St NW
6.16,Jefferson Dr & 14th St SW,Lincoln Memorial
13.65,Lincoln Memorial,14th & L St NW
22.49,Jefferson Dr & 14th St SW,Constitution Ave & 2nd St NW/DOL
25.54,Jefferson Dr & 14th St SW,Constitution Ave & 2nd St NW/DOL
17.65,Lincoln Memorial,17th St & Independence Ave SW
17.34,Lincoln Memorial,17th St & Independence Ave SW
41.43,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
42.89,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
46.35,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
47.74,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
43.83,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
28.38,Jefferson Dr & 14th St SW,North Capitol St & F St NW
29.23,Jefferson Dr & 14th St SW,North Capitol St & F St NW
29.62,Jefferson Dr & 14th St SW,North Capitol St & F St NW
25.04,Lincoln Memorial,Jefferson Dr & 14th St SW
24.76,Lincoln Memorial,Jefferson Dr & 14th St SW
26.04,Lincoln Memorial,Jefferson Dr & 14th St SW
21.6,Lincoln Memorial,Jefferson Memorial
21.65,Lincoln Memorial,Jefferson Memorial
23.33,Lincoln Memorial,Jefferson Memorial
22.82,Lincoln Memorial,Jefferson Memorial
25.06,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
24.83,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
16.49,Lincoln Memorial,17th & G St NW
14.31,Lincoln Memorial,Independence Ave & L'Enfant Plaza SW/DOE
8.66,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
27.68,Lincoln Memorial,4th St & Madison Dr NW
27.5,Lincoln Memorial,4th St & Madison Dr NW
27.29,Lincoln Memorial,4th St & Madison Dr NW
27.57,Lincoln Memorial,4th St & Madison Dr NW
33.46,Lincoln Memorial,California St & Florida Ave NW
12.08,Jefferson Dr & 14th St SW,Lincoln Memorial
23.74,Jefferson Dr & 14th St SW,Georgia & New Hampshire Ave NW
73.27,Lincoln Memorial,New York Ave & 15th St NW
17.82,Lincoln Memorial,25th St & Pennsylvania Ave NW
17.75,Lincoln Memorial,25th St & Pennsylvania Ave NW
17.89,Lincoln Memorial,25th St & Pennsylvania Ave NW
17.83,Lincoln Memorial,25th St & Pennsylvania Ave NW
30.88,Jefferson Dr & 14th St SW,14th & G St NW
18.79,Jefferson Dr & 14th St SW,14th St & New York Ave NW
18.59,Jefferson Dr & 14th St SW,14th St & New York Ave NW
21.79,Jefferson Dr & 14th St SW,14th St & New York Ave NW
90.51,Jefferson Dr & 14th St SW,3rd & H St NE
90.5,Jefferson Dr & 14th St SW,3rd & H St NE
14.85,Jefferson Dr & 14th St SW,Iwo Jima Memorial/N Meade & 14th St N
15.06,Jefferson Dr & 14th St SW,Iwo Jima Memorial/N Meade & 14th St N
44.03,Lincoln Memorial,Hains Point/Buckeye & Ohio Dr SW
54.05,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
53.9,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
13.36,Lincoln Memorial,17th & G St NW
13.11,Lincoln Memorial,17th & G St NW
14.16,Lincoln Memorial,17th & G St NW
13.89,Lincoln Memorial,17th & G St NW
27.49,Lincoln Memorial,Jefferson Dr & 14th St SW
26.86,Lincoln Memorial,Jefferson Dr & 14th St SW
64.54,Lincoln Memorial,Maryland & Independence Ave SW
64.7,Lincoln Memorial,Maryland & Independence Ave SW
15.24,Jefferson Dr & 14th St SW,Jefferson Memorial
15.28,Jefferson Dr & 14th St SW,Jefferson Memorial
118.09,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
118.06,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
19.58,Lincoln Memorial,Jefferson Memorial
19.21,Lincoln Memorial,Jefferson Memorial
83.8,Jefferson Dr & 14th St SW,14th St & New York Ave NW
78.35,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
82.51,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
78.8,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
80.91,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
80.44,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
17.23,Lincoln Memorial,Jefferson Memorial
17.13,Lincoln Memorial,Jefferson Memorial
81.42,Lincoln Memorial,Lincoln Memorial
81.66,Lincoln Memorial,Lincoln Memorial
32.41,Jefferson Dr & 14th St SW,20th St & Florida Ave NW
16.85,Jefferson Dr & 14th St SW,20th & O St NW / Dupont South
33.65,Jefferson Dr & 14th St SW,20th St & Florida Ave NW
20.81,Lincoln Memorial,Jefferson Memorial
20.3,Lincoln Memorial,Jefferson Memorial
22.2,Lincoln Memorial,Jefferson Memorial
89.71,Lincoln Memorial,17th & G St NW
90.57,Lincoln Memorial,17th & G St NW
26.92,Lincoln Memorial,Jefferson Memorial
27.82,Lincoln Memorial,Jefferson Memorial
27.07,Lincoln Memorial,Jefferson Memorial
19.85,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
29.11,Lincoln Memorial,Jefferson Memorial
22,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
10.78,Jefferson Dr & 14th St SW,Jefferson Memorial
10.5,Jefferson Dr & 14th St SW,Jefferson Memorial
36.03,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
13.86,Jefferson Dr & 14th St SW,Jefferson Memorial
13.54,Jefferson Dr & 14th St SW,Jefferson Memorial
29.58,Lincoln Memorial,4th St & Madison Dr NW
29.63,Lincoln Memorial,4th St & Madison Dr NW
30.14,Lincoln Memorial,4th St & Madison Dr NW
62.03,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
61.88,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
69.23,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
68.69,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
7.44,Jefferson Dr & 14th St SW,Jefferson Memorial
44.17,Jefferson Dr & 14th St SW,8th & D St NW
43.98,Jefferson Dr & 14th St SW,8th & D St NW
24.25,Lincoln Memorial,2nd & G St NE
48.76,Jefferson Dr & 14th St SW,8th & D St NW
48.63,Jefferson Dr & 14th St SW,8th & D St NW
58.2,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
60.31,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
15.81,Jefferson Dr & 14th St SW,17th & G St NW
15.54,Jefferson Dr & 14th St SW,17th & G St NW
17.04,Jefferson Dr & 14th St SW,17th & G St NW
16.26,Jefferson Dr & 14th St SW,17th & G St NW
21.43,Lincoln Memorial,Jefferson Dr & 14th St SW
43.67,Jefferson Dr & 14th St SW,Lincoln Memorial
42.97,Jefferson Dr & 14th St SW,Lincoln Memorial
44.48,Jefferson Dr & 14th St SW,Lincoln Memorial
10.13,Jefferson Dr & 14th St SW,Jefferson Memorial
10.54,Jefferson Dr & 14th St SW,Jefferson Memorial
41.67,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
42.66,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
45.36,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
45.69,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
36.4,Lincoln Memorial,Jefferson Memorial
35.92,Lincoln Memorial,Jefferson Memorial
26.95,Jefferson Dr & 14th St SW,Constitution Ave & 2nd St NW/DOL
30.72,Lincoln Memorial,Wisconsin Ave & O St NW
30.34,Lincoln Memorial,Wisconsin Ave & O St NW
23.43,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
13.09,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
12.47,Lincoln Memorial,Jefferson Dr & 14th St SW
12.31,Lincoln Memorial,Jefferson Dr & 14th St SW
14.08,Lincoln Memorial,Jefferson Dr & 14th St SW
14.03,Lincoln Memorial,Jefferson Dr & 14th St SW
80.4,Lincoln Memorial,Washington & Independence Ave SW/HHS
12.59,Jefferson Dr & 14th St SW,5th St & Massachusetts Ave NW
19.34,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
16.23,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
22.65,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
21.92,Lincoln Memorial,Maryland & Independence Ave SW
21.87,Lincoln Memorial,Maryland & Independence Ave SW
28.88,Jefferson Dr & 14th St SW,Jefferson Memorial
33.69,Jefferson Dr & 14th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
33.56,Jefferson Dr & 14th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
44.93,Lincoln Memorial,Eastern Market Metro / Pennsylvania Ave & 7th St SE
45.58,Lincoln Memorial,Eastern Market Metro / Pennsylvania Ave & 7th St SE
29.21,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
19.51,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
78.62,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
31.09,Lincoln Memorial,Washington & Independence Ave SW/HHS
30.81,Lincoln Memorial,Washington & Independence Ave SW/HHS
6.88,Jefferson Dr & 14th St SW,Constitution Ave & 2nd St NW/DOL
24.28,Jefferson Dr & 14th St SW,8th & H St NW
24.17,Jefferson Dr & 14th St SW,8th & H St NW
24.25,Lincoln Memorial,Maryland & Independence Ave SW
24.02,Lincoln Memorial,Maryland & Independence Ave SW
62.29,Lincoln Memorial,4th & East Capitol St NE
70.95,Lincoln Memorial,Maryland & Independence Ave SW
33.36,Lincoln Memorial,4th St & Madison Dr NW
176.65,Lincoln Memorial,10th St & Constitution Ave NW
11.62,Jefferson Dr & 14th St SW,10th & G St NW
76.87,Lincoln Memorial,L'Enfant Plaza / 7th & C St SW
84.6,Lincoln Memorial,Lincoln Park / 13th & East Capitol St NE
12.74,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
84.98,Lincoln Memorial,Lincoln Park / 13th & East Capitol St NE
21.36,Lincoln Memorial,1st & K St SE
119.73,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
119.91,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
133.78,Lincoln Memorial,Lincoln Memorial
26.81,Jefferson Dr & 14th St SW,New Hampshire Ave & T St NW
9.42,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
11.67,Lincoln Memorial,Lincoln Memorial
34.35,Jefferson Dr & 14th St SW,Georgetown Harbor / 30th St NW
16.61,Lincoln Memorial,M St & Pennsylvania Ave NW
16.55,Lincoln Memorial,M St & Pennsylvania Ave NW
16.44,Lincoln Memorial,M St & Pennsylvania Ave NW
16.13,Lincoln Memorial,M St & Pennsylvania Ave NW
20.08,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
19.83,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
15.26,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
33.25,Jefferson Dr & 14th St SW,14th & G St NW
35.18,Jefferson Dr & 14th St SW,14th & G St NW
24.61,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
24.38,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
23.63,Lincoln Memorial,19th St & Constitution Ave NW
50.31,Jefferson Dr & 14th St SW,17th St & Massachusetts Ave NW
49.73,Jefferson Dr & 14th St SW,17th St & Massachusetts Ave NW
19.34,Lincoln Memorial,Jefferson Memorial
14.59,Jefferson Dr & 14th St SW,18th & M St NW
17.94,Lincoln Memorial,Lynn & 19th St North
11.99,Jefferson Dr & 14th St SW,Lincoln Memorial
12.04,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
5.04,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
4.71,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
5.95,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
12.96,Jefferson Dr & 14th St SW,5th & K St NW
5.18,Jefferson Dr & 14th St SW,Hains Point/Buckeye & Ohio Dr SW
12.09,Jefferson Dr & 14th St SW,17th & G St NW
12.08,Jefferson Dr & 14th St SW,17th & G St NW
18.98,Jefferson Dr & 14th St SW,17th & G St NW
14.36,Jefferson Dr & 14th St SW,7th & F St NW/Portrait Gallery
14.01,Jefferson Dr & 14th St SW,7th & F St NW/Portrait Gallery
12.87,Jefferson Dr & 14th St SW,Lincoln Memorial
12.56,Jefferson Dr & 14th St SW,Lincoln Memorial
64.89,Lincoln Memorial,Eastern Market Metro / Pennsylvania Ave & 7th St SE
35.71,Lincoln Memorial,34th & Water St NW
16.3,Jefferson Dr & 14th St SW,2nd St & Massachusetts Ave NE
12.72,Jefferson Dr & 14th St SW,8th & East Capitol St NE
10.5,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
11.34,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
11.55,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
11.76,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
5.19,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
3.19,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
1.84,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
1.89,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
18.41,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
38.59,Jefferson Dr & 14th St SW,Georgetown Harbor / 30th St NW
20,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
21.19,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
38.88,Jefferson Dr & 14th St SW,Georgetown Harbor / 30th St NW
14.18,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
14.33,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
12.48,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
11.07,Lincoln Memorial,23rd & E St NW
2.78,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
2.76,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
11.87,Lincoln Memorial,23rd & E St NW
21.33,Jefferson Dr & 14th St SW,20th & O St NW / Dupont South
23.04,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
18.06,Jefferson Dr & 14th St SW,1st & H St NW
17.09,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
17.85,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
17.55,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
11.62,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
11.48,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
11.12,Jefferson Dr & 14th St SW,4th & East Capitol St NE
7.52,Jefferson Dr & 14th St SW,Hains Point/Buckeye & Ohio Dr SW
34.15,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
34.25,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
26.93,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
27.19,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
21.65,Lincoln Memorial,Lincoln Memorial
21.88,Lincoln Memorial,Lincoln Memorial
25.45,Lincoln Memorial,Jefferson Dr & 14th St SW
25.4,Lincoln Memorial,Jefferson Dr & 14th St SW
28.02,Jefferson Dr & 14th St SW,10th & E St NW
29.29,Jefferson Dr & 14th St SW,10th & E St NW
18.41,Lincoln Memorial,19th St & Constitution Ave NW
50.97,Lincoln Memorial,Henry Bacon Dr & Lincoln Memorial Circle NW
51.2,Lincoln Memorial,Henry Bacon Dr & Lincoln Memorial Circle NW
19.31,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
10.42,Jefferson Dr & 14th St SW,Jefferson Memorial
10.42,Jefferson Dr & 14th St SW,Jefferson Memorial
10.25,Jefferson Dr & 14th St SW,Jefferson Memorial
4.36,Jefferson Dr & 14th St SW,10th St & L'Enfant Plaza SW
15.16,Lincoln Memorial,Lynn & 19th St North
5.64,Jefferson Dr & 14th St SW,21st St & Constitution Ave NW
6.71,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
16.95,Lincoln Memorial,4th & D St NW / Judiciary Square
5.09,Jefferson Dr & 14th St SW,19th St & Constitution Ave NW
4.22,Lincoln Memorial,22nd St & Constitution Ave NW
19.06,Lincoln Memorial,North Capitol St & G Pl NE
24.21,Lincoln Memorial,S Joyce & 16th St S
9.75,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
23.71,Lincoln Memorial,New Jersey Ave & R St NW
16.02,Jefferson Dr & 14th St SW,Eastern Market Metro / Pennsylvania Ave & 7th St SE
10.67,Jefferson Dr & 14th St SW,4th & M St SW
23.04,Jefferson Dr & 14th St SW,15th & Crystal Dr
17.25,Lincoln Memorial,17th St & Independence Ave SW
16.96,Lincoln Memorial,17th St & Independence Ave SW
17.42,Lincoln Memorial,17th St & Independence Ave SW
10.95,Lincoln Memorial,22nd & I St NW / Foggy Bottom
7.2,Jefferson Dr & 14th St SW,8th & D St NW
130.15,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
18.85,Lincoln Memorial,18th St & Pennsylvania Ave NW
132.17,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
4.99,Jefferson Dr & 14th St SW,L'Enfant Plaza / 7th & C St SW
26.61,Lincoln Memorial,19th & G St NW
27.57,Lincoln Memorial,19th & G St NW
25.06,Jefferson Dr & 14th St SW,Columbia Pike & S Orme St
34.41,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
70.02,Jefferson Dr & 14th St SW,14th St & New York Ave NW
69.61,Jefferson Dr & 14th St SW,14th St & New York Ave NW
31.26,Jefferson Dr & 14th St SW,14th & Rhode Island Ave NW
5.1,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
14.65,Jefferson Dr & 14th St SW,Lincoln Memorial
15.01,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
15.8,Jefferson Dr & 14th St SW,Lincoln Memorial
17.46,Jefferson Dr & 14th St SW,Lincoln Memorial
8.72,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
12.26,Lincoln Memorial,14th & G St NW
9.64,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
11.99,Jefferson Dr & 14th St SW,Eastern Market Metro / Pennsylvania Ave & 7th St SE
11.17,Jefferson Dr & 14th St SW,Lincoln Memorial
12.07,Jefferson Dr & 14th St SW,1st & D St SE
14.7,Jefferson Dr & 14th St SW,2nd & G St NE
13.9,Lincoln Memorial,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
20.25,Jefferson Dr & 14th St SW,20th & E St NW
26.1,Jefferson Dr & 14th St SW,Lincoln Memorial
15.25,Jefferson Dr & 14th St SW,8th & East Capitol St NE
12.56,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
26.76,Jefferson Dr & 14th St SW,Lincoln Memorial
31.63,Lincoln Memorial,13th St & New York Ave NW
27.52,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
27.57,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
18.79,Lincoln Memorial,Barton St & 10th St N
29.71,Jefferson Dr & 14th St SW,3rd St & Pennsylvania Ave SE
29.14,Jefferson Dr & 14th St SW,3rd St & Pennsylvania Ave SE
9.68,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
7.03,Jefferson Dr & 14th St SW,Hains Point/Buckeye & Ohio Dr SW
21.12,Lincoln Memorial,Rolfe St & 9th St S
20.65,Jefferson Dr & 14th St SW,2nd St & Massachusetts Ave NE
43.2,Lincoln Memorial,15th & P St NW
42.86,Lincoln Memorial,15th & P St NW
26.24,Lincoln Memorial,Jefferson Memorial
25.85,Lincoln Memorial,Jefferson Memorial
17.45,Jefferson Dr & 14th St SW,2nd St & Massachusetts Ave NE
57.04,Jefferson Dr & 14th St SW,Jefferson Memorial
46.82,Lincoln Memorial,Maryland & Independence Ave SW
46.49,Lincoln Memorial,Maryland & Independence Ave SW
17.79,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
50.99,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
7.94,Lincoln Memorial,Jefferson Memorial
23.35,Jefferson Dr & 14th St SW,22nd St & Constitution Ave NW
27.44,Lincoln Memorial,18th & M St NW
14.37,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
38.86,Lincoln Memorial,Lincoln Memorial
38.31,Lincoln Memorial,Lincoln Memorial
